ticker,LatestQuarter,AssetType,Name,CIK,Exchange,Currency,Country,Sector,Industry,FiscalYearEnd,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Block
COTY,2022-03-31,Common Stock,Coty Inc,1024305.0,NYSE,USD,USA,LIFE SCIENCES,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",June,6084134000.0,865800000.0,42.9,0.518,4.288,0.0,0.0,0.1689999999999999,6.48,0.0683,0.0629,0.0152,0.0823,5198500000.0,2776500000.0,0.1689999999999999,-0.505,0.154,11.1,42.9,14.6,1.17,1.429,1.863,6.8,2.374,11.12,5.9,7.74,8.71,839191000.0,2020-03-27,2020-02-14,
TWKS,2022-03-31,Common Stock,Thoughtworks Holding Inc,1866550.0,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,December,5151395000.0,56960000.0,,,2.37,0.0,0.0,-0.593,4.268,-0.0885,-0.0596,-0.0288,-0.1669999999999999,1153223000.0,380502000.0,-0.593,0.0,0.35,22.2,-,30.21,4.467,6.61,4.39,133.99,,34.43,14.41,18.58,23.84,310325000.0,,,
CMAXW,2022-03-31,Common Stock,CareMax Inc,1813914.0,NASDAQ,USD,USA,LIFE SCIENCES,SERVICES-NURSING & PERSONAL CARE FACILITIES,December,,10800900.0,,,,,,,0.0,0.0631,0.0772,0.185,1.297,120425000.0,0.0,0.0,0.0,0.281,,-,-,-,-,-,-,,5.57,0.54,0.0,0.0,0.0,,,5.0
XELA,2022-03-31,Common Stock,Exela Technologies Inc,1620179.0,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",December,89587000.0,83942000.0,,0.0,-1.594,0.0,0.0,-0.857,5.99,-0.14,0.0087,0.0057,0.0,1145948000.0,277511000.0,-0.857,0.0,-0.069,1.18,-,-,0.0782,-,1.195,14.49,1.813,5.45,0.2,0.3329999999999999,1.065,441966000.0,2021-01-26,,
ROOT,2022-03-31,Common Stock,Root Inc,1788882.0,NASDAQ,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",December,363935000.0,,,,1.842,0.0,0.0,-1.989,1.4469999999999998,-1.375,-1.254,-0.174,-0.657,362200000.0,-46900000.0,-1.989,0.0,0.245,3.64,-,-,1.005,0.701,0.657,-,,14.7,1.11,1.653,3.257,155000000.0,,,
CAH,2022-03-31,Common Stock,Cardinal Health Inc,721371.0,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",June,14640228000.0,2431000000.0,,0.524,3.603,1.963,0.0364,-3.377,624.9,-0.0054,0.0098,0.0253,-1.733,176846995000.0,6975000000.0,-3.377,-0.92,0.142,60.54,-,10.07,0.0828,16.07,0.104,80.25,0.8320000000000001,64.53,45.03,58.41,52.98,272427000.0,2022-07-15,2022-06-30,
PRIF-P-L,0000-00-00,Common Stock,PRIF-P-L,,NYSE,USD,USA,TECHNOLOGY,GENERAL,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
EJH,2021-12-31,Common Stock,E-Home Household Service Holdings Ltd,1769768.0,NASDAQ,USD,China,TRADE & SERVICES,SERVICES-MISCELLANEOUS REPAIR SERVICES,June,14962700.0,9845800.0,,,1.937,0.0,0.0,-0.099,2.047,-0.0482,-0.032,-0.0185,-0.0567,64366000.0,26066400.0,-0.099,0.3279999999999999,-0.2269999999999999,,-,-,0.233,0.256,0.18,78.42,,43.77,0.335,0.545,1.618,42507700.0,,,
COOL,2022-03-31,Common Stock,Corner Growth Acquisition Corp.,1829953.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,492000000.0,,37.7,,,0.0,0.0,0.261,0.0,0.0,0.0,-0.0027,0.0,0.0,0.0,0.261,18.32,0.0,65.0,37.7,-,-,1.319,-,-,,9.88,9.65,9.84,9.78,40000000.0,,,
OSH,2022-03-31,Common Stock,Oak Street Health Inc,1564406.0,NYSE,USD,USA,LIFE SCIENCES,SERVICES-HEALTH SERVICES,December,4235670000.0,,,,0.213,0.0,0.0,-1.977,7.37,-0.268,-0.266,-0.153,-3.2460000000000004,1649700000.0,26300000.0,-1.977,0.0,0.732,31.06,-,-,2.567,85.48,2.874,-,,65.22,13.29,21.06,30.42,241074000.0,,,
IPOE-WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFRW,2022-03-31,Common Stock,Cipher Mining Inc,1819989.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,3.1,0.26,0.0,0.0,0.0,,,5.0
