ticker,LatestQuarter,AssetType,Name,CIK,Exchange,Currency,Country,Sector,Industry,FiscalYearEnd,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Block
IBM,2022-03-31 00:00:00,Common Stock,International Business Machines,51143.0,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,December,126542455000.0,12120001000.0,23.19,1.4240000000000002,21.18,6.57,0.0467,6.09,65.03,0.0946,0.105,0.0271,0.245,58361000000.0,31486000000.0,6.09,-0.239,0.077,143.63,23.19,13.0,2.168,6.07,2.787,13.11,1.009,142.58,111.84,133.06,129.68,896320000.0,2022-06-10,2022-05-09,
A,2022-04-30,Common Stock,Agilent Technologies Inc,1090872.0,NYSE,USD,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,October,38380995000.0,1846000000.0,31.0,2.414,17.16,0.8079999999999999,0.0065,4.145,21.65,0.194,0.232,0.0908,0.254,6527000000.0,3407000000.0,4.145,0.3,0.054,173.35,31.0,24.94,5.88,7.03,5.87,21.28,1.061,178.83,112.64,125.81,145.7,298708000.0,2022-07-27,2022-07-01,
AA,2022-03-31,Common Stock,Alcoa Corp,1675149.0,NYSE,USD,USA,MANUFACTURING,PRIMARY PRODUCTION OF ALUMINUM,December,11404482000.0,3286000000.0,16.25,-0.29,24.82,0.2,0.0065,3.804,67.79,0.0575,0.21,0.107,0.162,12575000000.0,3053000000.0,3.804,1.6769999999999998,0.147,89.95,16.25,5.13,0.907,2.44,0.902,4.593,2.341,97.92,30.84,72.75,60.93,184449000.0,2022-06-03,2022-05-16,
AAC,2022-03-31,Common Stock,Ares Acquisition Corp,1829432.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,1226250000.0,,98.1,,0.04,0.0,0.0,0.1,0.0,0.0,0.0,-0.0015,0.0,0.0,0.0,0.1,-0.163,0.0,,98.1,-,-,1.29,-,-,,9.87,9.66,9.81,9.78,100000000.0,,,
AAC-U,0000-00-00,Common Stock,AAC-U,1829432.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAC-WS,0000-00-00,Common Stock,AAC-WS,1829432.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AACG,2022-03-31,Common Stock,ATA Inc,1420529.0,NASDAQ,USD,China,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,December,32230600.0,,,,5.48,0.0,0.0,-0.153,6.46,-0.147,-0.3,-0.0738,-0.163,206759000.0,104796000.0,-0.153,0.0,0.121,30.0,-,-,0.156,1.348,0.149,-,0.935,4.75,0.88,1.169,1.733,31598600.0,2018-08-24,2018-08-27,
AACI,2022-03-31,Common Stock,Armada Acquisition Corp I,1844817.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,September,204610000.0,,,,0.044,0.0,0.0,-0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.203,0.0,0.0,,-,-,-,-,-,-,,9.99,9.34,9.86,9.83,20709500.0,,,
AACIU,2022-03-31,Common Stock,Armada Acquisition Corp I Unit,1844817.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,September,,,,,0.044,0.0,0.0,-0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.203,0.0,0.0,,-,-,-,-,-,-,,10.53,9.76,9.96,9.95,0.0,,,5.0
AACIW,2021-06-30,Common Stock,Armada Acquisition Corp. I Warrant,1844817.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,0.005,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.67,0.17,0.0,0.0,0.0,,,5.0
AADI,2022-03-31,Common Stock,Aadi Bioscience Inc,1422142.0,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,346800000.0,,,,5.95,0.0,0.0,-8.81,0.245,0.0,-14.15,-0.371,-2.22,3307000.0,-18550000.0,-8.81,0.0,18.23,43.5,-,-,104.87,2.411,51.79,-,,49.8,11.0,15.7,21.8,20942000.0,,,
AAIC,2022-03-31,Common Stock,Arlington Asset Investment Corp,1209028.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,105005000.0,,,,6.05,0.0,0.0,-0.293,0.375,-0.524,-0.231,-0.0069,-0.027,11790000.0,3755000.0,-0.293,-0.6890000000000001,-0.435,4.5,-,32.15,8.91,0.552,-,-,1.656,4.27,2.88,3.379,3.567,29662500.0,2020-02-03,2019-12-30,
AAIC-P-B,0000-00-00,Common Stock,AAIC-P-B,1209028.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAIC-P-C,0000-00-00,Common Stock,AAIC-P-C,1209028.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAIN,2022-03-31,Common Stock,AAIN,1209028.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,25.07,22.6,24.51,24.83,0.0,2022-05-01,,
AAL,2022-03-31,Common Stock,American Airlines Group,6201.0,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",December,10535133000.0,4512000000.0,,0.627,0.365,0.0,0.0,-3.671,53.68,-0.0684,-0.1,-0.032,0.0,34773000000.0,1934000000.0,-3.671,0.188,1.22,19.25,-,7.39,0.303,-,1.264,29.04,1.45,24.49,12.44,17.76,18.31,649515000.0,2020-02-19,2020-02-04,
AAM-P-A,0000-00-00,Common Stock,AAM-P-A,,NYSE,USD,USA,TECHNOLOGY,GENERAL,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAM-P-B,0000-00-00,Common Stock,AAM-P-B,,NYSE,USD,USA,TECHNOLOGY,GENERAL,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAMC,2022-03-31,Common Stock,Altisource Asset Management Corp,1555074.0,NYSE MKT,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,December,21850900.0,-7291000.0,4.097,0.0,-128.11,0.0,0.0,2.587,-1.998,0.0,0.0,-0.0866,-0.198,-3584000.0,-5635000.0,2.587,-0.982,0.008,,4.097,-,2.367,-,0.727,2.214,1.18,31.89,8.78,11.22,11.43,2061400.0,,,
AAME,2022-03-31,Common Stock,Atlantic American Corporation,8177.0,NASDAQ,USD,USA,FINANCE,LIFE INSURANCE,December,61007000.0,12019000.0,8.52,0.0,6.19,0.02,0.0067,0.351,9.91,0.0374,0.0546,0.0182,0.0582,202087000.0,20364000.0,0.351,-0.784,0.052,,8.52,-,0.302,0.451,0.372,-,0.176,5.67,2.108,3.0410000000000004,3.325,20403600.0,2022-04-27,2022-04-12,
AAN,2022-03-31,Common Stock,Aarons Inc,1821393.0,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",December,567191000.0,802562000.0,6.39,1.35,23.61,0.412,0.0244,2.891,56.55,0.0523,0.117,0.0953,0.129,1820532000.0,1159489000.0,2.891,-0.346,-0.052,27.5,6.39,10.16,0.312,0.763,0.474,1.201,1.998,36.89,17.26,20.25,23.46,30708800.0,2022-07-05,2022-06-15,
AAN-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAOI,2022-03-31,Common Stock,Applied Opt,1158114.0,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,62177000.0,-20207000.0,,0.51,8.7,0.0,0.0,-2.01,7.88,-0.255,-0.266,-0.0771,-0.211,214106000.0,37715000.0,-2.01,0.0,0.051,4.3,-,84.03,0.29,0.264,0.865,-,1.74,9.25,2.01,2.738,4.909,27634100.0,,,
AAON,2022-03-31,Common Stock,AAON Inc,824142.0,NASDAQ,USD,USA,TECHNOLOGY,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,December,2942267000.0,104774000.0,49.5,2.87,9.05,0.38,0.0069999999999999,1.12,11.46,0.101,0.124,0.0778,0.142,601500000.0,137830000.0,1.12,0.1,0.578,71.0,49.5,-,4.891,5.7,4.677,26.91,0.727,83.5,47.33,52.57,64.48,53071000.0,2022-07-01,2022-06-02,
AAP,2022-03-31,Common Stock,Advance Auto Parts Inc,1158449.0,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,December,11565829000.0,1096417000.0,21.23,1.103,48.05,4.5,0.0314,8.98,175.49,0.0516,0.075,0.0434,0.178,11041829000.0,4931356000.0,8.98,-0.196,0.013,225.76,21.23,14.41,1.048,3.818,1.338,13.33,1.225,242.78,172.86,207.46,217.72,60640000.0,2022-07-01,2022-06-16,
AAPL,2022-03-31,Common Stock,Apple Inc,320193.0,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,September,2353004282000.0,130633998000.0,23.69,2.489,4.158,0.88,0.0063,6.14,23.47,0.264,0.309,0.217,1.493,386017001000.0,152836000000.0,6.14,0.086,0.086,188.92,23.69,22.57,6.1,32.98,5.94,17.23,1.195,182.44,125.22,159.09,159.49,16185200000.0,2022-05-12,2022-05-06,
AAQC,2022-03-31,Common Stock,Accelerate Acquisition Corp,1838883.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,488000000.0,,104.95,,0.1,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,-0.633,0.0,,104.95,-,-,1.288,-,-,,9.92,9.6,9.76,9.73,40000000.0,,,
AAQC-U,0000-00-00,Common Stock,AAQC-U,1838883.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAQC-WS,0000-00-00,Common Stock,AAQC-WS,1838883.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAT,2022-03-31,Common Stock,American Assets Trust Inc,1500217.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,2526617000.0,222784000.0,52.54,21.85,20.42,1.2,0.0383,0.627,6.51,0.0964,0.277,0.0223,0.0396,390520000.0,247833000.0,0.627,7.37,0.216,38.2,52.54,-,6.47,1.604,9.11,15.75,1.136,40.14,30.97,35.15,36.86,60522000.0,2022-06-23,2022-06-08,
AATC,2022-03-31,Common Stock,Autoscope Technologies Corp,943034.0,NASDAQ,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC",December,31388700.0,2040000.0,26.34,,3.5860000000000003,0.48,0.083,0.221,2.432,0.0907,0.145,0.0544,0.0593,13015000.0,10235000.0,0.221,-0.985,-0.076,,26.34,-,2.412,1.651,2.016,9.2,0.903,7.95,4.884,6.23,6.75,5391500.0,2022-05-30,2022-05-20,
AAU,2022-03-31,Common Stock,Almaden Minerals Ltd,1015647.0,NYSE MKT,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,December,34922300.0,,,0.0,0.579,0.0,0.0,-0.016,0.0,0.0,0.0,-0.033,-0.0339,0.0,0.0,-0.016,0.0,0.0,1.01,-,-,-,0.604,-,-,1.273,0.56,0.22,0.313,0.341,137221000.0,,,
AAWW,2022-03-31,Common Stock,Atlas Air Worldwide Holdings,1135185.0,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, NONSCHEDULED",December,1978402000.0,1033118000.0,4.599,1.1,97.36,0.0,0.0,15.26,145.05,0.115,0.172,0.0735,0.189,4206685000.0,1351091000.0,15.26,-0.221,0.204,98.86,4.599,4.376,0.47,0.664,0.84,3.267,1.247,97.13,62.13,71.87,79.71,28190400.0,,,
AB,2022-03-31,Common Stock,AllianceBernstein Holding LP,825313.0,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,December,4252685000.0,,10.85,5.38,15.94,3.99,0.0948,3.934,4.247,0.926,1.0,0.1639999999999999,0.243,421772000.0,416326000.0,3.934,0.07,0.061,45.0,10.85,11.65,10.08,2.45,-,-,1.432,54.5,35.2,42.55,48.06,99594000.0,2022-05-26,2022-05-06,
ABB,2022-03-31,Common Stock,ABB Ltd,1091587.0,NYSE,USD,USA,MANUFACTURING,SWITCHGEAR & SWITCHBOARD APPARATUS,December,63372038000.0,4607000000.0,13.61,0.276,6.87,0.9,0.0278,2.32,14.64,0.16,0.131,0.0575,0.347,29009000000.0,9538000000.0,2.32,0.236,0.009,38.66,13.61,19.42,2.185,4.444,2.123,8.98,1.019,38.11,27.74,30.79,34.17,2001550000.0,2022-05-11,2022-03-28,
ABBV,2022-03-31,Common Stock,AbbVie Inc,1551152.0,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,260065575000.0,28444000000.0,21.11,1.279,9.22,5.42,0.0383,6.97,32.04,0.22,0.354,0.0855,0.831,56725000000.0,38883000000.0,6.97,0.261,0.041,164.14,21.11,10.71,4.585,16.39,5.87,13.45,0.8109999999999999,174.43,102.35,156.27,133.79,1767110000.0,2022-05-16,2022-04-14,
ABC,2022-03-31,Common Stock,AmerisourceBergen,1140859.0,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",September,30797492000.0,3576748000.0,17.93,1.6,2.628,1.8,0.0125,8.2,1104.34,0.0075,0.0127,0.035,0.4320000000000001,229666374000.0,6774434000.0,8.2,0.233,0.174,171.09,17.93,14.41,0.134,57.16,0.152,10.46,0.452,166.68,109.83,156.3,135.96,209464000.0,2022-05-31,2022-05-13,
ABCB,2022-03-31,Common Stock,Ameris Bancorp,351569.0,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,December,3171827000.0,,9.56,2.45,43.45,0.6,0.0131,4.78,14.17,0.339,0.464,0.0148,0.116,983864000.0,1041196000.0,4.78,-0.346,-0.191,53.5,9.56,9.27,3.224,0.993,-,-,1.147,57.23,39.67,42.92,48.49,69436000.0,2022-04-08,2022-03-30,
ABCL,2022-03-31,Common Stock,AbCellera Biologics Inc,1703057.0,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,2145401000.0,286446000.0,11.76,,4.244,0.0,0.0,0.6409999999999999,1.751,0.419,0.555,0.125,0.189,489043000.0,267625000.0,0.6409999999999999,0.459,0.562,30.0,11.76,38.91,4.387,1.862,3.071,4.821,,26.83,5.42,8.29,12.37,284536000.0,,,
ABCM,2021-06-30,Common Stock,Abcam,1492074.0,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",June,3404427000.0,67600000.0,619.58,,2.8710000000000004,0.0,0.0,0.024,1.391,0.014,0.149,0.0326,0.0069,315400000.0,227700000.0,0.024,-0.579,0.233,1671.43,619.58,40.16,10.79,3.863,10.47,69.69,0.7070000000000001,24.0,12.54,16.19,19.26,228946000.0,,2020-03-19,
ABEO,2022-03-31,Common Stock,Abeona Therapeutics Inc,318306.0,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,23423800.0,-72345000.0,,0.0,0.214,0.0,0.0,-0.8079999999999999,0.03,0.0,-17.09,-0.364,-1.426,3346000.0,-299000.0,-0.8079999999999999,0.0,0.0,2.33,-,-,7.0,0.446,0.36,0.154,1.489,1.89,0.13,0.226,0.55,146950000.0,,,
ABEV,2022-03-31,Common Stock,Ambev SA ADR,1565025.0,NYSE,USD,USA,MANUFACTURING,BEVERAGES,December,46310228000.0,21360867000.0,16.33,1.996,5.01,0.604,0.0373,0.177,4.743,0.18,0.233,0.0834,0.17,74653737000.0,37194600000.0,0.177,0.301,0.108,3.25,16.33,17.45,0.62,2.795,0.569,2.041,0.911,3.799,2.404,2.9730000000000003,2.893,15739300000.0,2022-01-06,2021-12-20,
ABG,2022-03-31,Common Stock,Asbury Automotive Group Inc,1144980.0,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO DEALERS & GASOLINE STATIONS,December,4043831000.0,1026300000.0,5.66,0.321,98.62,0.0,0.0,32.3,556.27,0.0586,0.0844,0.107,0.426,11556600000.0,1902200000.0,32.3,1.172,0.784,240.33,5.66,5.1,0.35,1.82,0.669,7.24,1.2009999999999998,230.97,146.43,172.18,178.89,22131300.0,2008-08-22,2008-07-30,
ABGI,2022-03-31,Common Stock,ABG Acquisition I Corp,1833764.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,189266000.0,,,,0.259,0.0,0.0,-0.045,0.0,0.0,0.0,-0.0062,0.0,0.0,0.0,-0.045,0.0,0.0,,-,-,-,1.296,-,-,,9.99,9.61,9.8,9.76,15566300.0,,,
ABIO,2022-03-31,Common Stock,ARCA Biopharma Inc,907654.0,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,December,34151900.0,-6456000.0,,0.0,3.327,0.0,0.0,-1.283,0.0,0.0,0.0,-0.193,-0.325,0.0,0.0,-1.283,0.0,0.0,7.0,-,-,-,0.697,-,0.83,2.199,3.9,1.71,2.344,2.411,14410100.0,2019-04-04,,
ABM,2022-01-31,Common Stock,ABM Industries Incorporated,771497.0,NYSE,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,October,3318045000.0,469700000.0,26.44,4.45,24.54,0.765,0.0159,1.877,98.74,0.0191,0.0561,0.0565,0.0792,6672400000.0,1022300000.0,1.877,0.009,0.297,59.0,26.44,-,0.497,1.843,0.622,13.85,1.094,54.0,38.1,47.31,45.43,66869000.0,2022-05-02,2022-04-06,
ABMD,2022-03-31,Common Stock,ABIOMED Inc,815094.0,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,March,11949133000.0,283933000.0,88.0,2.75,33.01,0.0,0.0,2.98,22.7,0.132,0.248,0.101,0.0964,1031753000.0,843595000.0,2.98,0.056,0.119,347.5,88.0,-,11.58,7.23,9.8,39.39,1.352,379.3,226.46,284.91,318.08,45563900.0,,,
ABNB,2022-03-31,Common Stock,Airbnb Inc - Class A,1559720.0,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,December,77369795000.0,853614000.0,93.4,,7.44,0.0,0.0,1.283,10.59,0.121,0.119,0.0336,0.203,6613761000.0,4835927000.0,1.283,0.664,0.701,185.67,93.4,58.48,11.7,14.51,9.5,62.31,,212.58,103.74,144.54,161.03,382254000.0,,,
ABOS,2022-03-31,Common Stock,Acumen Pharmaceuticals Inc,1576885.0,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",December,149045000.0,,,,5.34,0.0,0.0,-2.7510000000000003,0.033,0.0,0.0,-0.119,-0.728,329000.0,-12305000.0,-2.7510000000000003,0.0,0.0,17.5,-,-,538.78,0.626,89.67,2.135,,26.98,3.02,3.834,8.5,40501300.0,,,
ABR,2022-03-31,Common Stock,Arbor Realty Trust,1253986.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,2622507000.0,,7.75,1.2,12.52,1.46,0.0922,2.112,4.622,0.509,0.659,0.0308,0.17,669585000.0,615206000.0,2.112,-0.266,0.056,20.4,7.75,-,3.917,1.252,-,-,1.7009999999999998,19.49,15.42,16.97,17.89,160202000.0,2022-05-31,2022-05-19,
ABR-P-D,0000-00-00,Common Stock,ABR-P-D,1253986.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,25.8,24.95,0.0,0.0,0.0,,,1.0
ABR-P-E,0000-00-00,Common Stock,ABR-P-E,1253986.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,25.69,24.75,0.0,0.0,0.0,,,1.0
ABR-P-F,0000-00-00,Common Stock,ABR-P-F,1253986.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,25.5,25.0,0.0,0.0,0.0,,,1.0
ABSI,2022-03-31,Common Stock,Absci Corp,1672688.0,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,December,337981000.0,,,,3.668,0.0,0.0,-1.776,0.067,0.0,-20.27,-0.186,-0.593,4538000.0,-39804000.0,-1.776,0.0,-0.23,17.38,-,-,74.48,0.954,25.82,-,,31.53,3.315,5.9,9.67,92852000.0,,,
ABST,2022-03-31,Common Stock,Absolute Software Corporation,1071058.0,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,June,481291000.0,3185000.0,,,0.158,0.26,0.0272,-0.455,3.565,-0.126,-0.0764,-0.0221,-1.281,176562000.0,104915000.0,-0.455,-0.2,0.696,14.8,-,285.71,2.726,57.34,3.805,116.26,0.802,14.2,6.73,8.33,9.43,51038000.0,2022-05-25,2022-05-11,
ABT,2022-03-31,Common Stock,Abbott Laboratories,1800.0,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,204107071000.0,13479999000.0,27.06,6.85,20.22,1.84,0.0161,4.308,25.13,0.173,0.226,0.0856,0.223,44514001000.0,25009000000.0,4.308,0.37,0.138,140.17,27.06,23.36,4.585,5.6,4.655,15.94,0.723,141.53,104.63,116.18,123.69,1750940000.0,2022-05-16,2022-04-13,
ABTX,2022-03-31,Common Stock,Allegiance Bancshares Inc,1642081.0,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,December,826332000.0,,10.06,0.0,36.9,0.5,0.0138,4.029,11.85,0.343,0.462,0.0121,0.109,240029000.0,239448000.0,4.029,0.022,0.01,46.33,10.06,12.66,3.443,1.04,-,-,0.921,45.84,33.86,41.25,41.09,20378100.0,2022-06-15,2022-05-27,
ABUS,2022-03-31,Common Stock,Arbutus Biopharma Corp,1447028.0,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,401566000.0,-71643000.0,,0.0,1.115,0.0,0.0,-0.705,0.179,0.0,-3.117,-0.218,-0.54,21456000.0,-54514000.0,-0.705,0.0,4.954,6.7,-,-,18.72,2.188,9.32,-,2.662,6.5,1.93,2.576,3.323,148728000.0,,,
ABVC,2022-03-31,Common Stock,ABVC Biopharma Inc,1173313.0,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,66876000.0,,,,0.247,0.0,0.0,-0.6709999999999999,0.004,0.0,-140.92,-0.922,-3.725,118310.0,350710.0,-0.6709999999999999,0.0,-0.902,9.5,-,-,565.28,7.67,576.51,-,0.478,6.03,1.95,2.389,2.772,32307300.0,2019-05-08,,
AC,2022-03-31,Common Stock,Associated Capital Group Inc,1642122.0,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",December,857500000.0,-16787000.0,35.11,0.0,41.72,0.2,0.0051,1.108,0.959,1.155,-0.8270000000000001,-0.0089,0.0281,21181000.0,-3533000.0,1.108,-0.813,0.111,10.87,35.11,-,40.48,0.902,22.73,12.23,1.144,47.5,34.4,39.32,39.63,3081000.0,2022-06-29,2022-06-14,
ACA,2022-03-31,Common Stock,Arcosa Inc,1739445.0,NYSE,USD,USA,MANUFACTURING,FABRICATED STRUCTURAL METAL PRODUCTS,December,2576964000.0,282400000.0,35.32,6.72,40.94,0.2,0.0038,1.51,44.27,0.0347,0.0618,0.0278,0.038,2131800000.0,366200000.0,1.51,0.281,0.217,65.57,35.32,33.33,1.209,1.278,1.463,11.59,0.446,61.22,43.38,54.22,52.44,48321100.0,2021-10-29,2022-07-14,
ACAB,2022-03-31,Common Stock,Atlantic Coastal Acquisition Corp II,1893219.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,299400000.0,,,,0.003,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,10.01,9.87,9.95,9.94,30000000.0,,,
ACABU,2021-12-31,Common Stock,Atlantic Coastal Acquisition Corp II Unit,1893219.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,,,,,0.003,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,10.1,9.94,10.03,10.01,0.0,,,5.0
ACABW,2021-12-31,Common Stock,Atlantic Coastal Acquisition Corp. II Warrant,1893219.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,,,,,0.003,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.22,0.107,0.0,0.0,0.0,,,5.0
